fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 161622	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	308	TRUE	240007	0.0157828275742623	0.547779889307905	2683	60	0.015579470590194	13377000	88
20220529 161800	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	619	TRUE	240007	0.0105021101217576	0.331101386329308	4264	830	0.015093334933914	13252000	89
20220529 161859	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	189	TRUE	240007	0.015058571686	0.737925884115514	1175	651	0.0158818159925446	13732000	90
20220529 162049	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	562	TRUE	240007	0.0104107679560096	0.375609553257031	2112	418	0.0139036938580048	13357000	91
20220529 162109	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	115	TRUE	240007	0.0727006360236488	0.278169798421317	6761	370	0.0152127500001594	13002000	92
20220529 162134	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	94	TRUE	240007	0.0446337515429812	0.502499478261836	7995	781	0.018634207250097	13073000	93
20220529 162316	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	520	TRUE	240007	0.0104662268270793	0.3397935305076	2258	1022	0.0187098349016075	13510000	94
20220529 162423	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	642	TRUE	240007	0.0105696883836525	0.98631770050176	7316	16	0.0172337615997899	12642000	95
20220529 162522	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	364	TRUE	240007	0.0101118123766372	0.971856752120708	3015	16	0.0158274291210539	13166000	96
20220529 162538	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	64	TRUE	240007	0.112307039694367	0.399695739797771	7553	1024	0.0154748403164013	13367000	97
20220529 162601	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	103	TRUE	240007	0.0611437813084136	0.42790831947458	5807	797	0.0163217665429055	13466000	98
20220529 162621	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	96	TRUE	240007	0.039981849888092	0.732239461210033	4832	716	0.0162968309697546	1.3e+07	99
20220529 162716	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	364	TRUE	240007	0.0165576042153196	0.280815070970612	2055	16	0.0138138993644674	13372000	100
20220529 162743	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	160	TRUE	240007	0.0408756900709039	0.232960808584475	4732	16	0.0120869994697	12953000	101
20220529 162911	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	308	TRUE	240007	0.0102067806303527	0.281167839019612	1110	311	0.0193063387872699	13045000	102
20220529 162927	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	71	TRUE	240007	0.121675798174227	0.581635137724871	7988	16	0.0170427380739003	13035000	103
20220529 162943	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	48	TRUE	240007	0.105068856443705	0.371958960274975	3256	1006	0.0158848069845939	13144000	104
20220529 162952	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	32	TRUE	240007	0.210947666637712	0.806555197872547	7470	508	0.0173072864573164	13004000	105
20220529 163017	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	133	TRUE	240007	0.0477312910739379	0.200446784753453	2088	938	0.0198109823076884	13205000	106
20220529 163112	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	179	TRUE	240007	0.0168715915968223	0.736377230687423	1125	408	0.0161430616323042	13386000	107
20220529 163235	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	344	TRUE	240007	0.0100921702260395	0.72313174471216	1369	796	0.0136990604161704	13474000	108
20220529 163413	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	459	TRUE	240007	0.0106979110451429	0.585449216716469	2092	502	0.0142293154052404	13431000	109
20220529 163456	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	175	TRUE	240007	0.0110005697100435	0.925555946087349	1311	21	0.0124858002060837	13212000	110
20220529 163541	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	206	TRUE	240007	0.0218697080277193	0.710270900441316	2316	1023	0.0205157300492932	12839000	111
20220529 163725	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	395	TRUE	240007	0.0101653477625999	0.404672571478403	1261	961	0.0167678287799252	13322000	112
20220529 163736	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	45	TRUE	240007	0.076159969210597	0.988338127261767	2372	16	0.0156461273219305	13407000	113
20220529 163808	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	126	TRUE	240007	0.0241780759637408	0.769660301997643	1908	51	0.0168210989923477	13423000	114
20220529 163846	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	116	TRUE	240007	0.0301163814966613	0.576601369028107	1386	217	0.0130213031184705	13433000	115
20220529 164037	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	893	TRUE	240007	0.0107839627166049	0.314923168832474	7328	1024	0.0157971155374923	13049000	116
20220529 164107	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	144	TRUE	240007	0.0345865348737725	0.379761971071635	5164	16	0.0161088049027512	13367000	117
20220529 164118	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	33	TRUE	240007	0.0951523616984338	0.999590628424073	5811	589	0.019389186686547	12837000	118
20220529 164253	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	535	TRUE	240007	0.0100997879508814	0.289838425881951	2579	710	0.0211006968162982	13038000	119
20220529 164313	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	69	TRUE	240007	0.0576683040774671	0.337818965123471	3627	907	0.0183615466215384	13390000	120
