Feature	Gain	Cover	Frequency
mvr_mconsumosdolares	0.000516791381406902	0.00109886330626032	0.00124329276272739
Master_fultimo_cierre	0.000458936004914504	0.000682034569620062	0.00124329276272739
mvr_mpagosdolares	0.00043340204679968	0.00319523106878763	0.001832220913493
cplazo_fijo	0.000402808207701125	0.00238392016075732	0.000687082842559874
mv_mconsumosdolares	0.000398885948739346	0.00123485361201708	0.00111241984033503
Master_cconsumos	0.000373023815813381	0.00125775160074448	0.00134144745452166
mtarjeta_master_consumo	0.00035198891673665	0.00111645938402203	0.00147232037691402
matm	0.000348721362536756	0.00143016059274961	0.00225755791126816
Visa_Finiciomora	0.000346677746560705	0.00501998308692463	0.00101426514854077
mv_Finiciomora	0.000293285096802997	0.0030836806760982	0.000654364611961785
Visa_delinquency	0.000271370348663517	0.000756562286981439	0.000327182305980893
catm_trx	0.000258939900913453	0.00120836776324468	0.00160319329930637
ccajas_extracciones	0.000238799728197107	0.00276735221794381	0.000654364611961785
Visa_msaldodolares	0.00023506384012163	0.000477754331331693	0.000588928150765607
Master_mpagado	0.000232501588086907	0.00322598709973944	0.000719801073157964
mv_status06	0.000205884545501492	0.000139162794472235	0.000229027614186625
ctarjeta_master_trx	0.000197253848780634	0.000266274666897265	0.000556209920167517
mv_status03	0.000188690340686373	0.000167371970448109	0.000261745844784714
Master_mconsumosdolares	0.000174377626945002	0.000296111315154403	0.000719801073157964
Visa_status	0.000170737681433285	0.00164280906881605	0.000327182305980893
catm_trx_other	0.000149877218038215	0.00113605913886719	0.000719801073157964
mv_status05	0.000131068684124562	0.000113607666073469	0.000229027614186625
matm_other	0.000123655351708348	0.00124116663780729	0.000687082842559874
mtarjeta_visa_descuentos	0.000123247048155382	0.00164751420558867	0.00101426514854077
Master_mpagosdolares	9.27282541621362e-05	0.000157655579570672	0.000490773458971339
mttarjeta_master_debitos_automaticos	8.59433088618414e-05	0.000127347902287228	0.000163591152990446
ctarjeta_visa	8.18835046687911e-05	0.000115361914219581	6.54364611961785e-05
mvr_msaldodolares	6.42414123538302e-05	0.000701382834131704	0.00045805522837325
Master_madelantopesos	6.12476337719882e-05	0.000136083068584701	0.000359900536578982
mv_mpagosdolares	6.12346908705617e-05	0.00062652735477828	0.000490773458971339
Visa_madelantopesos	4.40715604416225e-05	8.44450943660118e-05	0.000163591152990446
mv_msaldodolares	4.23220277661632e-05	0.000202578555744755	0.000229027614186625
Master_cadelantosefectivo	2.87910790708808e-05	0.000100962031229375	0.000229027614186625
ctarjeta_visa_descuentos	2.86006525113314e-05	0.000568695915747613	0.00042533699777516
ctarjeta_master_debitos_automaticos	2.66300163654803e-05	0.000171375201822668	0.000196309383588536
internet	2.12880857559347e-05	0.000126708869472546	6.54364611961785e-05
Master_madelantodolares	1.56814651703733e-05	6.72283135007627e-05	0.000163591152990446
Visa_madelantodolares	1.28273387959625e-05	2.79710847175007e-05	6.54364611961785e-05
Visa_cadelantosefectivo	1.27145574473817e-05	1.32125187926023e-05	3.27182305980893e-05
mforex_sell	1.15007841319646e-05	0.000116973926029521	0.000130872922392357
Master_msaldodolares	1.03637249142059e-05	4.81212323417596e-05	9.81546917942678e-05
cseguro_vivienda	5.50225770153922e-06	1.42823834081512e-05	3.27182305980893e-05
cforex	8.20103806069361e-07	2.92563652334828e-05	3.27182305980893e-05
