fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220524 002453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.076206075099009	0.999913193704228	555	19	0.0146614767315357	13079000	80
20220524 002603	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	0.0106089455014094	0.999665598958885	1081	1024	0.0134513034954378	12892000	81
20220524 002706	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	269	TRUE	0.010161386683392	0.850955807511438	15	62	0.0123470428560723	12876000	82
20220524 002720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1	TRUE	0.194604296817862	0.999201088226472	4	549	0.00842474131521704	1188000	83
20220524 002834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	386	TRUE	0.01007266665567	0.893370209333049	2523	1020	0.0175040695899194	13461000	84
20220524 002922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	444	TRUE	0.0101245848112417	0.86078383754043	48	16	0.0227918964082478	12114000	85
20220524 003036	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	354	TRUE	0.0139632711743457	0.610996621958694	2491	745	0.0168717737958967	13786000	86
20220524 003052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.11265772398654	0.368894620621522	1644	1024	0.0169089601907315	12432000	87
20220524 003104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.147370370322248	0.659995990986537	2720	320	0.0174266839740164	12422000	88
20220524 003113	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	0.299929360921831	0.200905383946802	2282	744	0.0172158104015509	11286000	89
20220524 003152	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0283854720431958	0.545479937080026	3554	16	0.0120837464031099	13193000	90
20220524 003202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.299108612361946	0.609162086517853	6152	1024	0.016219282760729	12443000	91
20220524 003220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0541943946181185	0.999907462747973	5615	1024	0.016641343775116	12826000	92
20220524 003312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	315	TRUE	0.017210212315507	0.867928093423247	831	38	0.015398553259734	13043000	93
20220524 003330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.112264646244625	0.808498302072738	7315	985	0.0174412178029996	12947000	94
20220524 003435	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	399	TRUE	0.0138856355153027	0.904886610449099	2434	971	0.0144494764096584	13190000	95
20220524 003455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	84	TRUE	0.0980260630596901	0.533120759789355	2076	18	0.0163571445222765	13047000	96
20220524 003625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	405	TRUE	0.0100772433794572	0.800287403670467	1440	983	0.0227698235745586	12573000	97
20220524 003633	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.249902104097238	0.99829521293749	7953	1024	0.0293152579209786	11645000	98
20220524 003652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.0848907720390856	0.43471826339792	7028	16	0.0160609846197246	13401000	99
20220524 003703	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.233789085364783	0.405297053329138	5365	559	0.0166452301622086	12481000	100
20220524 003718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.0459923176994521	0.973681709366772	1441	24	0.0122950476766474	12803000	101
20220524 003728	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.299816263577459	0.360110397916415	7999	16	0.0117237578151117	11922000	102
20220524 003752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0818634664263948	0.200168671522592	6865	683	0.0282752785163266	12214000	103
20220524 003930	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	450	TRUE	0.0101018358760491	0.447566459379539	3200	1024	0.0152908191390111	13676000	104
20220524 004008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0410936103083418	0.525866786926178	6470	138	0.0171684177459881	13739000	105
20220524 004026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.0903642989485108	0.595118205758295	6686	547	0.016774514638638	12990000	106
20220524 004045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0707790661597859	0.224363695079014	7992	1024	0.0165010574029611	13274000	107
20220524 004157	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	716	TRUE	0.0204443886062703	0.200704252176409	7984	180	0.016677427251627	13344000	108
20220524 004207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.19141281036057	0.970050555756844	7997	1024	0.0110324464837392	12120000	109
20220524 004334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	527	TRUE	0.0103054124985644	0.657127950295881	2460	241	0.0202855002831954	13231000	110
20220524 004514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	662	TRUE	0.0101021395562289	0.349091375883251	6188	98	0.0159692696805216	13604000	111
20220524 004524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.279107384281643	0.200480171365341	7464	1024	0.0160983162514968	12682000	112
20220524 004621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0191188490309141	0.236473087410995	7983	531	0.017165504366048	13377000	113
20220524 004638	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0872478716089033	0.201726219889443	2819	172	0.0119103542870942	12759000	114
20220524 004654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0565011695398557	0.999574378571589	7998	227	0.0151678534521646	13018000	115
20220524 004715	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.0577458599211845	0.337918777548468	7423	289	0.0174728052578351	13239000	116
20220524 004729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.110049114304354	0.200579061854008	1	16	0.0497901920523306	5034000	117
20220524 004838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	502	TRUE	0.0105426989758433	0.998939033461546	7618	16	0.0176964271981513	12881000	118
20220524 004900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0753426563031739	0.488815275853602	6095	77	0.0143848720020419	13747000	119
20220524 004920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0738431612321194	0.406040520021612	6163	151	0.0169036293461466	13613000	120
